id,codigo,jurisdiccion,localidad,nombre,pase_descripcion,tsal
60197db9f6d3770009680f13,gualarpaz2,Gualeguaychú,Larroque,Juzgado de Paz de Larroque,,
60197dbbb3966400085e873f,guaurdpaz2,Urdinarrain,Larroque,Juzgado de Paz de Urdinarrain,,
60197dc9b3966400085e8754,noglgonpaz3,Nogoyá,Lucas Gonzalez,Juzgado de Paz de Lucas Gonzalez,,
60197ddbb3966400085e877a,rosmacpaz2,Tala,Macia,Juzgado de Paz de Macia,,
60197dddf6d3770009681027,rosmanpaz3,Tala,Mansilla,Juzgado de Paz de Mansilla,,
5e05e0f5a564b5000a7a25ea,mgdepaz,Paraná,María Grande,Juzgado de Paz de María Grande,PASE DIRECTO - MARIA GRANDE JUZGADO DE PAZ .-,17&KJYMGWY
5d57025c850c0000098c5b0f,nogpaz01,Nogoyá,Nogoyá,Juzgado de Paz,PASE DIRECTO - NOGOYA JUZGADO DE PAZ .-,17&KJTFsED
5d5702f7850c00000991dcd6,nogflia01,Nogoyá,Nogoyá,Juzgado Familia y Penal de Niños y Adolescentes,PASE DIRECTO - NOGOYA JUZGADO DE FAMILIA Y PENAL DE MENORES .-,17&KJrTvih
5d5703f8850c0000099a7cbd,nogcyc02,Nogoyá,Nogoyá,Juzgado Civil y Comercial 2,PASE DIRECTO - NOGOYA JUZGADO CIVIL Y COMERCIAL N°2 .-,17&KJAStGO
5d570532850c000009a46d4a,nogins01,Nogoyá,Nogoyá,Juzgado Instruccion 1,,
5d5d44d4a1e35c0009b51482,nogcyc01,Nogoyá,Nogoyá,Juzgado Civil y Comercial 1,PASE DIRECTO - NOGOYA JUZGADO CIVIL Y COMERCIAL N°1 .-,17&KJLhTGc
5e09e4a7a564b5000a897920,nogferia,Nogoyá,Nogoyá,Juzgado de Feria,PASE DIRECTO - NOGOYA FERIA JUDICIAL .-,17&KJPEV5j
5db6c2e5ab37b80009514900,overpaz,Paraná,Oro Verde,Juzgado de Paz de Oro Verde,PASE DIRECTO - ORO VERDE JUZGADO DE PAZ .-,17&KJ1mza5
5d56fc76850c0000095ec634,parcyc01,Paraná,Paraná,Juzgado Civil y Comercial 1,PASE DIRECTO - PARANA JUZGADO CIVIL Y COMERCIAL N°1 .-,17&KJABC01
5d56fcea850c000009619136,parlab01,Paraná,Paraná,Juzgado Laboral 1,PASE DIRECTO - PARANA JUZGADO LABORAL N°1 .-,17&KJ6oDTL
5d56fd5b850c000009674301,parlab02,Paraná,Paraná,Juzgado Laboral 2,PASE DIRECTO - PARANA JUZGADO LABORAL N°2 .-,17&KJABC20
5d56fe72850c00000970e8ab,parlab03,Paraná,Paraná,Juzgado Laboral 3,PASE DIRECTO - PARANA JUZGADO LABORAL N°3 .-,17&KJABC21
5d56ffc8850c000009823a49,parlab04,Paraná,Paraná,Juzgado Laboral 4,PASE DIRECTO - PARANA JUZGADO LABORAL N°4 .-,17&KJABC22
5d570267850c0000098c800b,parccs01,Paraná,Paraná,Cámara Civil y Comercial Sala 1,PASE DIRECTO - PARANA CAMARA CIVIL Y COMERCIAL SALA I .-,17&KJABC25
5d570270850c0000098ca519,parf02flia,Paraná,Paraná,Juzgado de Familia 2,PASE DIRECTO - PARANA JUZGADO DE FAMILIA N°2 .-,17&KJm8yKG
5d57027e850c0000098d04ae,parcyc09,Paraná,Paraná,Juzgado Civil y Comercial 9,,
5d570290850c0000098db570,parcyc02,Paraná,Paraná,Juzgado Civil y Comercial 2,PASE DIRECTO - PARANA JUZGADO CIVIL Y COMERCIAL N°2 .-,17&KJABC04
5d570301850c00000991fc00,parepenas,Paraná,Paraná,Juzgado de Ejecución de Penas,,
5d570305850c000009920049,parccs02,Paraná,Paraná,Cámara Civil y Comercial Sala 2,PASE DIRECTO - PARANA CAMARA CIVIL Y COMERCIAL SALA II .-,17&KJABC26
5d570305850c00000992004c,parf02asis,Paraná,Paraná,Juzgado de Familia 3,PASE DIRECTO - PARANA JUZGADO DE FAMILIA N°3 .-,17&KJCHe8m
5d570315850c0000099206a3,parcyc10,Paraná,Paraná,Juzgado Civil y Comercial 10,,
5d57033a850c000009931cfa,parcyc03,Paraná,Paraná,Juzgado Civil y Comercial 3,PASE DIRECTO - PARANA JUZGADO CIVIL Y COMERCIAL N°3 .-,17&KJABC05
5d57055e850c000009a5bbd7,feria,Paraná,Paraná,Juzgado de Feria,PASE DIRECTO - PARANA FERIA JUDICIAL .-,17&KJ&FXqS
5d57056f850c000009a6199c,parcyc04,Paraná,Paraná,Juzgado Civil y Comercial 4,PASE DIRECTO - PARANA JUZGADO CIVIL Y COMERCIAL N°4 .-,17&KJABC06
5d57059c850c000009a7eb75,parcts02,Paraná,Paraná,Cámara Civil y Comercial Sala 3,PASE DIRECTO - PARANA CAMARA CIVIL Y COMERCIAL SALA III .-,17&KJABC27
5d5705dd850c000009aa20ed,parfam04s4,Paraná,Paraná,Juzgado de Familia 4,PASE DIRECTO - PARANA JUZGADO DE FAMILIA N°4 .-,17&KJvHqs9
5d571190850c000009de5547,parccont,Paraná,Paraná,Cámara Contencioso Administrativo,PASE DIRECTO - PARANA CAMARA EN LO CONTENCIOSO ADMINISTRATIVO .-,17&KJOkdeh
5d57122f850c000009e1dbb3,parconten,Paraná,Paraná,Sala Contencioso Administrativo,,
5d576a36850c00000989738f,parpaz01,Paraná,Paraná,Juzgado de Paz 1,PASE DIRECTO - PARANA JUZGADO DE PAZ N°1 .-,17&KJABC18
5d576d8e850c0000099d36cc,parpaz02,Paraná,Paraná,Juzgado de Paz 2,PASE DIRECTO - PARANA JUZGADO DE PAZ N°2 .-,17&KJABC19
5d57707b850c000009b0c5b1,parfam01,Paraná,Paraná,Juzgado de Familia 1,PASE DIRECTO - PARANA JUZGADO DE FAMILIA N°1 .-,17&KJQTeDN
5d5783fc850c0000092d1997,parcyc05,Paraná,Paraná,Juzgado Civil y Comercial 5,PASE DIRECTO - PARANA JUZGADO CIVIL Y COMERCIAL N°5 .-,17&KJABC07
5d57868d850c0000094528a6,parcyc06,Paraná,Paraná,Juzgado Civil y Comercial 6,PASE DIRECTO - PARANA JUZGADO CIVIL Y COMERCIAL N°6 .-,17&KJABC08
5d578939850c0000095cdce4,parcyc07,Paraná,Paraná,Juzgado Civil y Comercial 7,PASE DIRECTO - PARANA JUZGADO CIVIL Y COMERCIAL N°7 .-,17&KJABC09
5d578bae850c00000974c122,parcyc08,Paraná,Paraná,Juzgado Civil y Comercial 8,PASE DIRECTO - PARANA JUZGADO CIVIL Y COMERCIAL N°8 .-,17&KJABC10
5d57a50c850c000009e36b1e,parcamcasacion,Paraná,Paraná,Cámara de Casacion Penal,PASE DIRECTO - PARANA CAMARA DE CASACION PENAL .-,17&KJWZsZM
5d57a516850c000009e3b6a7,parmedia,Paraná,Paraná,Mediación,,
5d57b0ec850c000009058c27,parcts01,Paraná,Paraná,Cámara Trabajo Sala 1,PASE DIRECTO - PARANA CAMARA LABORAL SALA I .-,17&KJABC28
5d57b16c850c0000090a6e58,parctrs02,Paraná,Paraná,Cámara Trabajo Sala 2,PASE DIRECTO - PARANA CAMARA LABORAL SALA II .-,17&KJDuPcF
5d57b18d850c0000090c90a9,parstsc01,Paraná,Paraná,Superior Tribunal Sala Civil y Comercial,,
5d57b212850c0000090fb4b4,parstsl01,Paraná,Paraná,Superior Tribunal Sala Laboral,,
5d57b265850c00000911f56a,parstsp01,Paraná,Paraná,Superior Tribunal Sala Penal,,
5d57b271850c000009123826,paroga,Paraná,Paraná,OGA,PASE DIRECTO - PARANA OGA .-,17&KJCJyyS
5d57b2d8850c00000914c693,paramp01,Paraná,Paraná,AMPAROS STJ,PASE DIRECTO - PARANA AREA DE AMPAROS - S.T.J. .-,17&KJVSZQy
5dd3f5fd12c2d7000a962338,parampvotos,Paraná,Paraná,V Amparos,,
5eb410e8f83d25000971998b,parcampen2,Paraná,Paraná,Camara Penal Sala 2,PASE DIRECTO - PARANA CAMARA PENAL SALA II .-,17&KJzclVj
5eb4117df83d250009719c52,parcampen1,Paraná,Paraná,Camara Penal Sala 1,PASE DIRECTO - PARANA CAMARA PENAL SALA I .-,17&KJ5OwpZ
5fc614f08ff6550008975480,parccs03,Paraná,Paraná,Cámara Civil y Comercial (Presidencia),,
60197dd441c1390007404754,parpbrupaz3,Paraná,Pueblo Brugo,Juzgado de Paz de Pueblo Brugo,,
5d5bfa8ba1e35c00097d397e,roscyc,Rosario del Tala,Rosario del Tala,Juzgado Civil y Comercial 1,PASE DIRECTO - ROSARIO DEL TALA JUZGADO CIVIL Y COMERCIAL .-,17&KJip1vJ
5d5bfb3aa1e35c00097e4d69,rosgar01,Rosario del Tala,Rosario del Tala,Juzgado Garantia 1,PASE DIRECTO - ROSARIO DEL TALA JUZGADO DE GARANTIAS .-,17&KJ&Peyx
5d5bfbf0a1e35c00097f3e5b,rospaz01,Rosario del Tala,Rosario del Tala,Juzgado de Paz,PASE DIRECTO - ROSARIO DEL TALA JUZGADO DE PAZ .-,17&KJZwIJR
5d5bfcdba1e35c000981229e,rosfamilia,Rosario del Tala,Rosario del Tala,Juzgado de Familia,PASE DIRECTO - ROSARIO DEL TALA JUZGADO DE FAMILIA Y PENAL DE NIÑOS Y ADOLESCENTES.-,17&KJOGgs6
5e09e484a564b5000a8970d2,rosferia,Rosario del Tala,Rosario del Tala,Juzgado de Feria,PASE DIRECTO - ROSARIO DEL TALA FERIA JUDICIAL .-,17&KJn4Jpq
5db6c2ef8fbc56000b499005,sbenpaz,Paraná,San Benito,Juzgado de Paz de San Benito,PASE DIRECTO - SAN BENITO JUZGADO DE PAZ .-,17&KJseYJf
60197d9f0cefd400099db5ef,chasjfpaz3,Chajarí,San Jaime de la Frontera,Juzgado de Paz de San Jaime de la Frontera,,
5db6c30812c2d700094b3643,sjosepaz,Colón,San José,Juzgado de Paz de San José,PASE DIRECTO - SAN JOSE JUZGADO DE PAZ .-,17&KJ3fKad
5d570287850c0000098d6a34,salcyc01,San Salvador,San Salvador,"Juzgado Civil, Comercial y Laboral","PASE DIRECTO - SAN SALVADOR JUZGADO CIVIL, COMERCIAL Y DE TRABAJO .-",17&KJnQdlN
5d57031f850c000009922aa7,salpaz01,San Salvador,San Salvador,Juzgado Paz 1,PASE DIRECTO - SAN SALVADOR JUZGADO DE PAZ .-,17&KJgxiOu
5e09e475a564b5000a897087,salferia,San Salvador,San Salvador,Juzgado de Feria,PASE DIRECTO - SAN SALVADOR FERIA JUDICIAL .-,17&KJgkZLy
5e05e400a564b5000a7aa29c,selenapaz,La Paz,Santa Elena,Juzgado de Paz de Santa Elena,PASE DIRECTO - SANTA ELENA JUZGADO DE PAZ .-,17&KJJ0jZO
60197db141c13900074045d1,fedlunapaz2,Federal,Sauce de Luna,Juzgado de Paz de Sauce de Luna,,
60197dd7b3966400085e8778,parsegpaz3,Paraná,Seguí,Juzgado de Paz de Seguí,,
60197da20cefd400099db5f4,uruubapaz3,Colón,Ubajay,Juzgado de Paz de Ubajay,,
5e05e46ca564b5000a7ab296,vialepaz,Paraná,Viale,Juzgado de Paz de Viale,PASE DIRECTO - VIALE JUZGADO DE PAZ .-,17&KJK6Nyb
